slug,title,category,intro,section1_title,section1_items,section2_title,section2_items
first-apartment-checklist,First Apartment Checklist (Printable),moving,Moving into your first apartment can feel overwhelming. This printable checklist helps you make sure you have the essentials before move-in day.,Essential Items,bed frame | mattress | pillows | bedsheets | towels | trash can | shower curtain | toilet paper,Nice to Have,coffee maker | floor lamp | wall decor | laundry basket | entryway mat
moving-day-checklist,Moving Day Checklist (Printable),moving,Moving day can get chaotic fast. This checklist helps you stay organized so nothing important gets forgotten during your move.,Must Do,confirm moving truck | pack essentials bag | protect fragile items | check utilities | bring cleaning supplies,Helpful Items,water bottles | snacks | phone chargers | tool kit
camping-checklist,Camping Checklist for Beginners (Printable),travel,Planning a camping trip? This printable checklist makes sure you bring the essential gear needed for a safe and comfortable outdoor trip.,Essential Gear,tent | sleeping bag | sleeping pad | flashlight | cooler | water container,Nice to Bring,camping chair | portable stove | bug spray | sunscreen | extra batteries
road-trip-checklist,Road Trip Checklist (Printable),travel,Road trips are more fun when you're prepared. This checklist helps you pack everything you need before hitting the road.,Car Essentials,driver's license | car registration | phone charger | navigation app | emergency kit,Helpful Items,snacks | water | sunglasses | playlist | travel pillow
dorm-room-checklist,Dorm Room Checklist for College Students,college,Moving into a dorm is exciting but easy to forget things. Use this checklist to make sure you bring the essentials to college.,Dorm Essentials,bedding | desk lamp | laundry basket | shower caddy | towels,Nice to Have,mini fridge | decorations | storage bins | power strip
hurricane-prep-checklist,Hurricane Preparation Checklist,emergency,Hurricanes require serious preparation. This checklist helps you gather the supplies needed to stay safe before a storm arrives.,Emergency Supplies,bottled water | canned food | flashlight | batteries | first aid kit,Helpful Supplies,portable radio | backup phone charger | blankets
emergency-kit-checklist,Emergency Kit Checklist for Home,emergency,A home emergency kit helps you stay prepared for unexpected situations like storms or power outages. This checklist covers the essentials.,Basic Supplies,bottled water | nonperishable food | flashlight | batteries | first aid kit,Extra Supplies,blankets | hygiene items | phone charger
hospital-bag-checklist,Hospital Bag Checklist for Mom and Dad,baby,Packing your hospital bag early helps reduce stress when labor starts. This checklist includes essential items for both parents.,For Mom,comfortable clothes | toiletries | nursing bra | slippers | phone charger,For Baby,baby outfit | blanket | diapers | wipes
job-interview-checklist,Job Interview Checklist Day Before and Day Of,career,Preparing for an interview increases your confidence and chances of success. This checklist helps you prepare everything you need.,Day Before,research company | prepare outfit | print resume | plan route,Day Of,bring ID | arrive early | silence phone
beach-trip-checklist,Beach Trip Checklist (Printable),travel,Heading to the beach? This checklist ensures you bring everything you need for a relaxing day in the sun.,Beach Essentials,sunscreen | beach towel | swimsuit | water | sunglasses,Nice to Bring,beach umbrella | cooler | snacks
picnic-checklist,Picnic Checklist (Printable),travel,Picnics are simple and fun when you're prepared. This checklist helps you bring everything needed for an outdoor meal.,Food Items,sandwiches | fruit | snacks | drinks,Equipment,blanket | plates | utensils | napkins
grocery-starter-checklist,First Apartment Grocery Checklist,home,If you're stocking your kitchen for the first time this grocery checklist helps cover the basics you'll use most often.,Pantry Basics,rice | pasta | cooking oil | salt | pepper,Refrigerator Basics,milk | eggs | butter | cheese
winter-storm-checklist,Winter Storm Preparation Checklist,emergency,Winter storms can cause power outages and dangerous conditions. This checklist helps you prepare ahead of time.,Emergency Supplies,bottled water | canned food | flashlight | batteries | blankets,Helpful Items,portable heater | extra gloves | warm socks
dog-travel-checklist,Traveling With a Dog Checklist,pets,Traveling with your dog requires planning. This checklist helps make sure your pet has everything they need for the trip.,Dog Essentials,leash | collar | food | water bowl | waste bags,Helpful Items,dog bed | toys | treats
